"","iSensor","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","celltype"
"176","AT-aux-cistrans-DR5-ARF3-down",0.00493545074327304,-0.364857005164879,0.988,1,0.330675199799294,"Initials"
"177","AT-aux-cistrans-DR5-ARF2-up",0.00595164161425086,-0.275280560768092,1,1,0.398759988154808,"Initials"
"178","AT-aux-cistrans-IR8-ARF1-up",0.00643238846873603,-0.90846827848358,0.388,0.657,0.430970027405314,"Initials"
"179","AT-aux-cistrans-DR5-ARF5-2-up",0.00811847211239694,0.268048982663019,1,1,0.543937631530595,"Initials"
"180","AT-aux-cistrans-DR5-ARF5syn-up",0.00987313257713566,-0.160299520645965,1,1,0.661499882668089,"Initials"
"181","AT-aux-cistrans-IR8-ARF6-up",0.0134799245972903,-0.284278540524331,1,1,0.903154948018452,"Initials"
"182","AT-aux-cistrans-IR8-ARF8-up",0.0134799245972903,-0.284278540524331,1,1,0.903154948018452,"Initials"
"183","AT-aux-cistrans-DR5-ARF3-up",0.0197517443984177,0.378762884180165,1,1,1,"Initials"
"184","AT-aux-cistrans-IR8-ARF5-1-down",0.0271423490340989,-0.231757160975763,1,1,1,"Initials"
"185","AT-aux-cis-DR5-TGTCGG",0.0275644796002741,-0.399704599383572,0.95,1,1,"Initials"
"186","AT-aux-cistrans-DR5-ARF5-2-down",0.0426363131204851,-0.286380353613972,0.925,1,1,"Initials"
"187","AT-aux-trans-A-ARF",0.0513872299469234,-0.406035091080169,0.925,1,1,"Initials"
"188","AT-aux-cistrans-IR8-ARF2-down",0.0598565793216309,-0.25636178646461,0.875,1,1,"Initials"
"189","AT-aux-cistrans-IR8-TGTCNN-down",0.068506201236461,-0.40559149998798,0.75,0.914,1,"Initials"
"190","AT-aux-cistrans-DR5-ARF1-down",0.0842829705137947,-0.244449147858655,0.938,0.971,1,"Initials"
"191","AT-aux-trans-ConjugationDeconjugation",0.13885518287684,0.306202857830588,1,1,1,"Initials"
"192","AT-aux-cistrans-IR8-ARF3-up",0.162924868606061,0.565340662939535,0.912,0.943,1,"Initials"
"193","AT-aux-cistrans-IR8-ARF5syn-up",0.190238091178243,-0.0730634334643958,1,1,1,"Initials"
"194","AT-aux-cistrans-IR8-TGTCNN-up",0.207215691666727,-0.124982183379248,0.963,1,1,"Initials"
"195","AT-aux-cistrans-IR8-ARF6-down",0.246897732313188,-0.109022355214799,0.988,1,1,"Initials"
"196","AT-aux-cistrans-IR8-ARF8-down",0.246897732313188,-0.109022355214799,0.988,1,1,"Initials"
"197","AT-aux-cistrans-IR8-ARF5-2-down",0.247945331764699,-0.195046830805845,0.762,0.943,1,"Initials"
"198","AT-aux-trans-ARF",0.646297247064099,0.0463013969364314,0.988,1,1,"Initials"
"199","AT-aux-cistrans-IR8-ARF2-up",0.668272120719031,-0.0500494190956533,1,1,1,"Initials"
"200","AT-aux-cistrans-DR5-ARF5-1-up",0.699517051889411,-0.0123419947963332,1,1,1,"Initials"
"201","AT-aux-trans-Receptors",0.838644763456265,0.234742514509328,0.95,1,1,"Initials"
"202","AT-aux-cistrans-DR5-ARF5syn-down",5.56676591907698e-08,-0.720948378251665,1,1,3.72973316578158e-06,"TransitInitials"
"203","random2",1.77637230134969e-07,-0.625267935366786,1,1,1.19016944190429e-05,"TransitInitials"
"204","AT-aux-cistrans-DR5-ARF6-down",6.83144923330894e-07,-0.811499758445054,1,1,4.57707098631699e-05,"TransitInitials"
"205","AT-aux-cistrans-DR5-ARF8-down",6.83144923330894e-07,-0.811499758445054,1,1,4.57707098631699e-05,"TransitInitials"
"206","AT-aux-trans-Synthesis",7.2319964723386e-07,-1.97450438254031,0.966,1,4.84543763646686e-05,"TransitInitials"
"207","AT-aux-cistrans-DR5-ARF5-1-down",7.65749219350345e-07,-0.841882215495686,1,1,5.13051976964731e-05,"TransitInitials"
"208","AT-aux-cistrans-IR8-ARF5syn-down",3.06426249991212e-06,-0.746258432195038,1,1,0.000205305587494112,"TransitInitials"
"209","AT-aux-trans-PolarAuxinTransport",3.5912410207163e-06,-1.55540989320785,0.914,1,0.000240613148387992,"TransitInitials"
"210","AT-aux-cistrans-DR5-TGTCNN-down",4.22733997960515e-06,-0.946316738211889,1,1,0.000283231778633545,"TransitInitials"
"211","AT-aux-cis-IR8-ARF1",6.79523689250879e-06,-0.523597308375791,1,1,0.000455280871798089,"TransitInitials"
"212","AT-aux-cis-DR5-ARF5-1",1.32619951518272e-05,-0.365918594704041,1,1,0.000888553675172423,"TransitInitials"
"213","AT-aux-cistrans-DR5-ARF2-down",1.62262814459717e-05,-1.07357096474659,1,1,0.00108716085688011,"TransitInitials"
"214","AT-aux-cistrans-IR8-ARF3-down",2.63357263884732e-05,-2.61482658804351,0.69,1,0.0017644936680277,"TransitInitials"
"215","AT-aux-cis-DR5-TGTCNN",3.56831729268664e-05,-0.390816790664947,1,1,0.00239077258610005,"TransitInitials"
"216","AT-aux-cis-DR5-ARF5syn",3.92937251113086e-05,-0.295335266848932,1,1,0.00263267958245768,"TransitInitials"
"217","AT-aux-cistrans-IR8-ARF1-up",5.10988766610727e-05,-2.07841371038832,0.259,0.714,0.00342362473629187,"TransitInitials"
