"Organ","Tissue_Cleaned","ARF","Synthesis","PAT","Old_IAA","Conjugation","n_cells","ARF_hat","residual"
"Root","Exodermis",0.138707857737657,0.0212572321262735,0.0688940328293576,0.315083819040055,0.0423791783642187,2902,0.117966019108323,0.0207418386293337
"Root","Meristem",0.144911595017449,0.0224532990343124,0.0786539488871701,0.325626257596045,0.0414969498398579,3770,0.125312993976558,0.0195986010408914
"Root","Root_cap",0.133562581275868,0.0152417058546351,0.187776684954578,0.238914046544891,0.0388166520365959,903,0.167825148354448,-0.0342625670785797
"Root","Sclerenchyma",0.132657127254598,0.0184564696572928,0.0686338191051771,0.287252252268495,0.0416174643358065,2348,0.111071879826195,0.0215852474284027
"Root","Vascular_cylinder",0.198405572254935,0.0649040334316414,0.139955764058503,0.460598081984019,0.0707261699725455,3577,0.275386427441682,-0.0769808551867474
"Root","epidermis_near_root_hair",0.130283164539435,0.0274822875640759,0.0579860204492758,0.452465405787518,0.0484180867663836,5008,0.130318071415353,-3.49068759176647e-05
"Shoot apical meristem","Epidermis",0.0917263158639623,0.0252508795630755,0.0217114520558901,0.127196205656401,0.0260674948630305,712,0.0878713659279471,0.0038549499360152
"Shoot apical meristem","Guard_cell",0.141906486620592,0.0294132864190624,0.0430058037703937,0.164263181442299,0.04663717879206,932,0.12487278476131,0.0170337018592818
"Shoot apical meristem","Meristem",0.119804689647976,0.0144758042780426,0.036602662846479,0.132080950509473,0.0349877751651905,2995,0.0794031150961943,0.0404015745517818
"Shoot apical meristem","Parenchyma_cell",0.114813107181933,0.0359531932065988,0.0470106928782268,0.151658764076903,0.0275955846792569,4146,0.126600974783717,-0.0117878676017843
"Shoot apical meristem","Proliferating_cell",0.135057752856288,0.0212144035773704,0.0447712770070011,0.137801005924651,0.0303804612317343,457,0.0951418991017559,0.0399158537545323
"Shoot apical meristem","SAM-unknown",0.144018376396792,0.0154592485210226,0.0326642262266393,0.09840035997037,0.0292504066298355,2274,0.0749040838636197,0.0691142925331718
"Shoot apical meristem","Vascular_cylinder",0.135453796324191,0.0199703555740249,0.0886818161857989,0.172022429195919,0.0499203149013783,2275,0.131986673588599,0.00346712273559141
"Spikelet","Epidermis",0.162337074777807,0.00594603374179382,0.00838169655926102,0.306167712008405,0.111764806119849,1760,0.104953627556431,0.0573834472213763
"Spikelet","Filament",0.265162571194781,0.0152295825286218,0.045907417738981,0.236573850981612,0.0672087515048135,1360,0.111365848329514,0.153796722865267
"Spikelet","Lodicule",0.099999793373822,0.0162192033062544,0.0148774006808558,0.109166307074503,0.070015990922152,2246,0.0985415477476867,0.00145824562613529
"Spikelet","Ovary_wall",0.141845079553552,0.0131072421609255,0.0207786782010842,0.106297542180708,0.0729499339099199,530,0.0972617034066218,0.0445833761469305
"Spikelet","Ovule",0.110481158196121,0.0174094194663516,0.0244363984144087,0.128227181431155,0.0676961807031252,3427,0.104642197081695,0.00583896111442568
"Spikelet","Pollen_mother_cell",0.123877818187158,0.0248533740106538,0.0120154335559964,0.144557619475041,0.077314578480228,2665,0.121629028525334,0.00224878966182358
"Spikelet","SP-unknown",0.138091047006808,0.0248662554525652,0.0478350731664258,0.181693081319228,0.0973005296925154,813,0.157102111409954,-0.019011064403145
"Spikelet","Stigmata",0.209358444514819,0.0135786934552455,0.0352515858489527,0.165140177015501,0.0760107680201654,1059,0.108705040014172,0.100653404500647
"Spikelet","Tapetum",0.225494207319097,0.00404987381283546,0.0322700203103397,0.257563466604918,0.227500098236481,2671,0.204361956687215,0.021132250631882
"Spikelet","Vascular_cylinder",0.0917226660729454,0.00568061783810608,0.00579689448696882,0.0787710539082604,0.0624985561334439,926,0.0644816981696583,0.0272409679032871
"Stem","Cortex",0.13135364584752,0.0132023937873197,0.13993529375865,0.289019307588134,0.058375051016873,1187,0.152106284381102,-0.0207526385335823
"Stem","Epidermis",0.143682176155239,0.0149100871103073,0.132880052846277,0.207278376072229,0.119871940686737,1982,0.199954521340831,-0.056272345185592
