iSensor,id__bulk-limma-results,effect__bulk-limma-results,AveExpr__bulk-limma-results,t__bulk-limma-results,p_value__bulk-limma-results,p_adj__bulk-limma-results,B__bulk-limma-results,neglog10_fdr__bulk-limma-results,iSensor_raw.x,id__iSensors_spearman_sc-endo,rho.rho__iSensors_spearman_sc-endo,p_value__iSensors_spearman_sc-endo,assay__iSensors_spearman_sc-endo,clean_panel__iSensors_spearman_sc-endo,significance__iSensors_spearman_sc-endo,reg_class__iSensors_spearman_sc-endo,iSensor_raw.y,Rho1__PerformanseTest1_stat,p-value__PerformanseTest1_stat,iSensor_raw.x.x,id__Statistics-exo-scdata,estimate__Statistics-exo-scdata,std.error__Statistics-exo-scdata,statistic__Statistics-exo-scdata,p.value__Statistics-exo-scdata,p_adj__Statistics-exo-scdata,effect__Statistics-exo-scdata,lo__Statistics-exo-scdata,hi__Statistics-exo-scdata,term__Statistics-exo-scdata,class__Statistics-exo-scdata,iSensor_raw.y.y,id__Statistics-rho-exo-scdata,rho__Statistics-rho-exo-scdata,p_value__Statistics-rho-exo-scdata,p_adj__Statistics-rho-exo-scdata,iSensor_raw
DR5-ARF5syn-up,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,-0.004943728,0.980081162,iSensor_mean_normed,DR5-ARF5syn-up,not significant,reg,AT-aux-cistrans-DR5-ARF5syn-up,0.790173645,4.89e-10,AT-aux-cistrans-DR5-ARF5syn-up,54,0.115298842,0.047124283,2.446697009,0.050014592,0.062055142,0.115298842,0.022935248,0.207662437,conditionAuxin,n.s.,AT-aux-cistrans-DR5-ARF5syn-up,31,0.706703339834894,0.0500145917530113,0.0620551416194769,AT-aux-cistrans-DR5-ARF5syn-up
DR5-ARF6,43,0.00178365966823412,1.02415885875219,9.10734066830148,3.54490356079917e-15,4.83395940108978e-15,21.6746819828477,14.3156970014163,AT-aux-cis-DR5-ARF6,53,0.290581363,0.133590112,iSensor_mean_normed,DR5-ARF6,not significant,cis,AT-aux-cis-DR5-ARF6,0.711078226,1.31e-7,AT-aux-cis-DR5-ARF6,22,-0.087432228,0.013815058,-6.328762809,7.27739e-4,0.0021199360000000002,-0.087432228,-0.114509743,-0.060354714,conditionAuxin,Down,AT-aux-cis-DR5-ARF6,7,-0.932585654650786,7.2773936126723e-4,0.00211993640021324,AT-aux-cis-DR5-ARF6
DR5-ARF6-down,32,-0.0277151284583413,1.10763825839039,-14.3765701415562,2.81250719554157e-27,5.11364944643921e-27,49.574646635327,26.2912690472708,AT-aux-cistrans-DR5-ARF6-down,36,0.161220473,0.41245228,iSensor_mean_normed,DR5-ARF6-down,not significant,reg,AT-aux-cistrans-DR5-ARF6-down,-0.571100149,7.82e-5,AT-aux-cistrans-DR5-ARF6-down,3,-0.331675209,0.03295177,-10.06547463,5.58033e-5,6.56441e-4,-0.331675209,-0.396260679,-0.267089739,conditionAuxin,Down,AT-aux-cistrans-DR5-ARF6-down,32,-0.971642523332916,5.580331765736e-5,6.5644139198874e-4,AT-aux-cistrans-DR5-ARF6-down
DR5-ARF6-up,9,0.0545437399382065,1.13171346911376,29.6324185907155,4.15697475166944e-55,2.49418485100166e-54,114.055595755027,53.6030713628883,AT-aux-cistrans-DR5-ARF6-up,34,0.154354184,0.432896545,iSensor_mean_normed,DR5-ARF6-up,not significant,reg,AT-aux-cistrans-DR5-ARF6-up,0.797979114,2.48e-10,AT-aux-cistrans-DR5-ARF6-up,61,-0.049650565,0.045479783,-1.091706284,0.316848522,0.342400822,-0.049650565,-0.13879094,0.03948981,conditionAuxin,n.s.,AT-aux-cistrans-DR5-ARF6-up,33,-0.407086149806831,0.316848522225202,0.342400822404654,AT-aux-cistrans-DR5-ARF6-up
DR5-ARF8,44,0.00178365966823412,1.02415885875219,9.10734066830148,3.54490356079917e-15,4.83395940108978e-15,21.6746819828477,14.3156970014163,AT-aux-cis-DR5-ARF8,37,0.168636065,0.390990593,iSensor_mean_normed,DR5-ARF8,not significant,cis,AT-aux-cis-DR5-ARF8,0.711078226,1.31e-7,AT-aux-cis-DR5-ARF8,23,-0.087432228,0.013815058,-6.328762809,7.27739e-4,0.0021199360000000002,-0.087432228,-0.114509743,-0.060354714,conditionAuxin,Down,AT-aux-cis-DR5-ARF8,8,-0.932585654650786,7.2773936126723e-4,0.00211993640021324,AT-aux-cis-DR5-ARF8
DR5-ARF8-down,33,-0.0277151284583413,1.10763825839039,-14.3765701415562,2.81250719554157e-27,5.11364944643921e-27,49.574646635327,26.2912690472708,AT-aux-cistrans-DR5-ARF8-down,58,0.481464206,0.009486181,iSensor_mean_normed,DR5-ARF8-down,not significant,reg,AT-aux-cistrans-DR5-ARF8-down,-0.571100149,7.82e-5,AT-aux-cistrans-DR5-ARF8-down,4,-0.331675209,0.03295177,-10.06547463,5.58033e-5,6.56441e-4,-0.331675209,-0.396260679,-0.267089739,conditionAuxin,Down,AT-aux-cistrans-DR5-ARF8-down,34,-0.971642523332916,5.580331765736e-5,6.5644139198874e-4,AT-aux-cistrans-DR5-ARF8-down
DR5-ARF8-up,10,0.0545437399382065,1.13171346911376,29.6324185907155,4.15697475166944e-55,2.49418485100166e-54,114.055595755027,53.6030713628883,AT-aux-cistrans-DR5-ARF8-up,24,0.079374304,0.688055942,iSensor_mean_normed,DR5-ARF8-up,not significant,reg,AT-aux-cistrans-DR5-ARF8-up,0.797979114,2.48e-10,AT-aux-cistrans-DR5-ARF8-up,62,-0.049650565,0.045479783,-1.091706284,0.316848522,0.342400822,-0.049650565,-0.13879094,0.03948981,conditionAuxin,n.s.,AT-aux-cistrans-DR5-ARF8-up,35,-0.407086149806831,0.316848522225202,0.342400822404654,AT-aux-cistrans-DR5-ARF8-up
DR5-TGTCGG,27,0.020649592877503,0.988291059114682,17.1834671894944,2.65196567290965e-33,5.89325705091033e-33,63.514928313982,32.2296446155216,AT-aux-cis-DR5-TGTCGG,57,0.460041383,0.013770218,iSensor_mean_normed,DR5-TGTCGG,not significant,cis,AT-aux-cis-DR5-TGTCGG,0.697548747,2.84e-7,AT-aux-cis-DR5-TGTCGG,9,-0.177485201,0.020464908,-8.672660734,1.29661e-4,7.89753e-4,-0.177485201,-0.21759642,-0.137373982,conditionAuxin,Down,AT-aux-cis-DR5-TGTCGG,9,-0.962352358554281,1.296609681688e-4,7.8975316975546e-4,AT-aux-cis-DR5-TGTCGG
DR5-TGTCNN,19,0.00654841577507621,1.0181072291761,20.7997798546575,1.94017677035975e-40,6.12687401166236e-40,80.043047383973,39.2127610500748,AT-aux-cis-DR5-TGTCNN,46,0.21670009,0.268027824,iSensor_mean_normed,DR5-TGTCNN,not significant,cis,AT-aux-cis-DR5-TGTCNN,0.857821043,3.96e-13,AT-aux-cis-DR5-TGTCNN,8,-0.171888345,0.018434694,-9.324176728,8.61979e-5,7.21908e-4,-0.171888345,-0.208020345,-0.135756345,conditionAuxin,Down,AT-aux-cis-DR5-TGTCNN,10,-0.967182717732603,8.619791267075e-5,7.219075186176e-4,AT-aux-cis-DR5-TGTCNN
DR5-TGTCNN-down,38,-0.0238652582083629,1.18202921064464,-11.4407817276221,1.34479583587952e-20,2.12336184612556e-20,34.150922982365,19.6729759905797,AT-aux-cistrans-DR5-TGTCNN-down,4,-0.219171955,0.262472904,iSensor_mean_normed,DR5-TGTCNN-down,not significant,reg,AT-aux-cistrans-DR5-TGTCNN-down,-0.545081919,1.89499e-4,AT-aux-cistrans-DR5-TGTCNN-down,1,-0.564164801,0.049074924,-11.49598933,2.60244e-5,6.56441e-4,-0.564164801,-0.660351652,-0.467977951,conditionAuxin,Down,AT-aux-cistrans-DR5-TGTCNN-down,36,-0.97804467667129,2.602439289473e-5,6.5644139198874e-4,AT-aux-cistrans-DR5-TGTCNN-down
