"id" "iSensor" "effect" "AveExpr" "t" "p_value" "p_adj" "B" "neglog10_fdr"
"25" "AT-aux-cistrans-IR8-ARF1-up" 0.0527475401890309 1.02325932792406 17.3565960328101 1.16307021859517e-33 2.79136852462842e-33 64.3436356036402 32.5541828228997
"26" "AT-aux-cistrans-IR8-ARF2-down" -0.0412937208766165 1.17719790504491 -17.2101911885754 2.33456652326481e-33 5.38746120753417e-33 63.6430910145666 32.2686158439615
"27" "AT-aux-cis-DR5-TGTCGG" 0.020649592877503 0.988291059114682 17.1834671894944 2.65196567290965e-33 5.89325705091033e-33 63.514928313982 32.2296446155216
"28" "AT-aux-trans-ARF" 0.0298538012231595 0.99065094964127 16.8695898575298 1.19320147786743e-32 2.55686030971591e-32 62.0029868203057 31.5922929983627
"29" "AT-aux-cistrans-IR8-ARF6-down" -0.0317042103470491 1.11763620931559 -14.9635416001404 1.4314119788457e-28 2.8628239576914e-28 52.5651370477187 27.5432053570269
"30" "AT-aux-cistrans-IR8-ARF8-down" -0.0317042103470491 1.11763620931559 -14.9635416001404 1.4314119788457e-28 2.8628239576914e-28 52.5651370477187 27.5432053570269
"31" "AT-aux-cistrans-IR8-ARF5-1-down" -0.0373805127878719 1.13100779598238 -14.6348950320547 7.54853763557821e-28 1.46100728430546e-27 50.8953408105068 26.8353476187503
"32" "AT-aux-cistrans-DR5-ARF6-down" -0.0277151284583413 1.10763825839039 -14.3765701415562 2.81250719554157e-27 5.11364944643921e-27 49.574646635327 26.2912690472708
"33" "AT-aux-cistrans-DR5-ARF8-down" -0.0277151284583413 1.10763825839039 -14.3765701415562 2.81250719554157e-27 5.11364944643921e-27 49.574646635327 26.2912690472708
"34" "AT-aux-cis-DR5-ARF3" 0.00522604286763637 1.01813424996924 14.1045416931696 1.13236927231014e-26 1.99829871584142e-26 48.1763582426998 25.6993395907123
"35" "AT-aux-cistrans-IR8-TGTCNN-down" -0.0308027183029955 1.06688517492921 -13.7692114818868 6.37116193474042e-26 1.09219918881264e-25 46.4424645734898 24.9616981503553
"36" "AT-aux-cis-IR8-ARF2" 0.00360659369358802 1.01338393761221 13.0545237670549 2.62373938181967e-24 4.37289896969945e-24 42.7121143106461 23.359230556364
"37" "AT-aux-cistrans-DR5-ARF3-down" -0.0360016280516394 1.1738364759587 -11.6570692022216 4.24129634383154e-21 6.87777785486197e-21 35.306602955902 20.1625518555518
"38" "AT-aux-cistrans-DR5-TGTCNN-down" -0.0238652582083629 1.18202921064464 -11.4407817276221 1.34479583587952e-20 2.12336184612556e-20 34.150922982365 19.6729759905797
"39" "AT-aux-cistrans-DR5-ARF2-down" -0.0256162294079369 1.13675725405784 -11.2343135676724 4.05359559996763e-20 6.23630092302712e-20 33.0462086247929 19.205072936771
"40" "AT-aux-cistrans-IR8-ARF5-2-down" -0.0317578929881453 1.22741368587939 -10.4809526403208 2.29289186953027e-18 3.43933780429541e-18 29.008591776291 17.4635251666215
"41" "AT-aux-cistrans-DR5-ARF5-1-down" -0.0218362468098487 1.15208109459366 -10.0864723697619 1.8998663429924e-17 2.78029220925717e-17 26.8947828159159 16.5559095572478
"42" "AT-aux-cis-DR5-ARF1" 0.00320840165378778 1.04784720993888 9.15027438336022 2.8216801851547e-15 4.03097169307815e-15 21.9022401891567 14.3945902516071
"43" "AT-aux-cis-DR5-ARF6" 0.00178365966823412 1.02415885875219 9.10734066830148 3.54490356079917e-15 4.83395940108978e-15 21.6746819828477 14.3156970014163
"44" "AT-aux-cis-DR5-ARF8" 0.00178365966823412 1.02415885875219 9.10734066830148 3.54490356079917e-15 4.83395940108978e-15 21.6746819828477 14.3156970014163
"45" "AT-aux-trans-Synthesis" -0.0153005468606365 0.833769686968961 -8.96853764757943 7.40541803882572e-15 9.8738907184343e-15 20.9401491427717 14.0055116837444
"46" "random2" 0.00291265736525561 0.994471629663902 8.87000500809182 1.24806964282877e-14 1.62791692542884e-14 20.419871973278 13.7883677614544
"47" "random1" -0.00250225886816905 1.02179980851647 -8.06262566251163 8.63395007177106e-13 1.10220639214099e-12 16.202414383857 11.9577370746538
"48" "AT-aux-cistrans-IR8-ARF1-down" -0.0215468872466071 1.19427760033534 -7.66565850333496 6.69666986014016e-12 8.3708373251752e-12 14.1673277195274 11.0772310978592
"49" "AT-aux-cistrans-DR5-ARF1-down" -0.0198569305628164 1.14731476845197 -6.93780209487661 2.63834690557619e-10 3.20643223092035e-10 10.5263027976585 9.49397793461727
"50" "AT-aux-cistrans-DR5-ARF5-2-down" -0.0232232127818718 1.11972591112649 -6.93524507396554 2.67202685910029e-10 3.20643223092035e-10 10.5137534198104 9.49397793461727
"51" "AT-aux-trans-Receptors" -0.0131423330343543 1.16759356372111 -6.58190084396847 1.51572709466452e-09 1.78320834666414e-09 8.79835063885099 8.74879791172068
"52" "AT-aux-cistrans-IR8-ARF3-down" -0.0126231066683993 1.21016853081198 -5.01513572723315 1.98413809413856e-06 2.28939010862141e-06 1.75560089287534 5.64028019789506
"53" "AT-aux-cis-DR5-ARF5-2" 0.00140299683100698 1.03490288968978 4.17386998249321 5.90953359847701e-05 6.69003803601171e-05 -1.5264555047714 4.17457141305683
"54" "AT-aux-cis-IR8-TGTCNN" 0.00146410892810791 1.05092912048385 3.75893015512039 0.000271804664184963 0.000302005182427736 -2.98345516393957 3.51998560445855
"55" "AT-aux-cis-DR5-ARF2" 0.000699923109166319 1.02747159588676 3.52859640956203 0.000605203115230014 0.000660221580250925 -3.74104037145849 3.1803102842609
"56" "AT-aux-cis-DR5-ARF5-1" 0.000547293588506683 1.01679431409971 3.18821760183925 0.0018521437054885 0.00198443968445197 -4.78936790328215 2.70236209660956
"57" "majortrend" -4.88184090053135e-05 1.00000007564441 -0.782673010941339 0.435456279226395 0.458375030764627 -9.39071742029484 0.338779047882921
"58" "AT-aux-cis-IR8-ARF1" 0.000152449191880322 1.02050711846232 0.437897565857767 0.662296431826025 0.685134239820026 -9.60223045318352 0.164224327921689
"59" "AT-aux-cis-IR8-ARF6" 1.4907004156374e-05 1.01736916487237 0.0533383415965863 0.957556513262249 0.957556513262249 -9.69743550534946 0.0188355853241635
"60" "AT-aux-cis-IR8-ARF8" 1.4907004156374e-05 1.01736916487237 0.0533383415965863 0.957556513262249 0.957556513262249 -9.69743550534946 0.0188355853241635
