"SensorKey","Method","AUROC","DisplayLabel","Dataset"
"ATH_aux_cis_IR8_ARF6","AUCell",0.461348725681916,"cis(IR8).ARF6","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_ARF8","AUCell",0.420193421112649,"cis(IR8).ARF8","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_IR8_TGTCNN","AUCell",0.322602091807483,"cis(IR8).TGTCNN","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF1_down","AUCell",0.369594267950108,"DR5.ARF1(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF1_up","AUCell",0.706420329309218,"DR5.ARF1(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF2_down","AUCell",0.154246460012117,"DR5.ARF2(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF2_up","AUCell",0.574331434148992,"DR5.ARF2(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF3_down","AUCell",0.251031028333586,"DR5.ARF3(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF3_up","AUCell",0.797650395786133,"DR5.ARF3(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF5_1_down","AUCell",0.235404191178865,"DR5.ARF5-1(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF5_1_up","AUCell",0.756023611951961,"DR5.ARF5-1(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF5_2_down","AUCell",0.502021884942514,"DR5.ARF5-2(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF5_2_up","AUCell",0.669307283682697,"DR5.ARF5-2(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF6_down","AUCell",0.216472381730183,"DR5.ARF6(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF6_up","AUCell",0.531658510140898,"DR5.ARF6(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF8_down","AUCell",0.312287749476274,"DR5.ARF8(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_ARF8_up","AUCell",0.663581017919447,"DR5.ARF8(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_TGTCNN_down","AUCell",0.232573311475583,"DR5.TGTCNN(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_DR5_TGTCNN_up","AUCell",0.609976085627502,"DR5.TGTCNN(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF1_down","AUCell",0.399512694762999,"IR8.ARF1(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF1_up","AUCell",0.491654913469713,"IR8.ARF1(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF2_down","AUCell",0.541403205473964,"IR8.ARF2(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF2_up","AUCell",0.560795687928347,"IR8.ARF2(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF3_down","AUCell",0.512918641129779,"IR8.ARF3(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF3_up","AUCell",0.48811084966894,"IR8.ARF3(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF5_1_down","AUCell",0.43692164574367,"IR8.ARF5-1(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF5_1_up","AUCell",0.655246827096149,"IR8.ARF5-1(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF5_2_down","AUCell",0.487358342391976,"IR8.ARF5-2(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF5_2_up","AUCell",0.553810824166168,"IR8.ARF5-2(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF6_down","AUCell",0.427035630165773,"IR8.ARF6(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF6_up","AUCell",0.60144682611174,"IR8.ARF6(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF8_down","AUCell",0.410523334900749,"IR8.ARF8(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_ARF8_up","AUCell",0.69894631913621,"IR8.ARF8(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_TGTCNN_down","AUCell",0.517913298969719,"IR8.TGTCNN(dn)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_reg_IR8_TGTCNN_up","AUCell",0.411201223386516,"IR8.TGTCNN(up)","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_A_ARF","AUCell",0.539902039592219,"A-ARF","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_ARF","AUCell",0.586457154526383,"ARF","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_ConjugationDeconjugation","AUCell",0.601184345218391,"Conjugation","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_IAA","AUCell",0.439691260968027,"IAA","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_PolarAuxinTransport","AUCell",0.467489664115258,"PAT","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_Receptors","AUCell",0.495232027017601,"Receptors","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_Synthesis","AUCell",0.42922125048407,"Synthesis","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_trans_Transport","AUCell",0.558510978806397,"Transport","Exogenous auxin
(Martin-Arevalillo 2025)"
"ATH_aux_cis_DR5_ARF1","iSensors",0.661293744093122,"cis(DR5).ARF1","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_DR5_ARF2","iSensors",0.657607184306203,"cis(DR5).ARF2","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_DR5_ARF3","iSensors",0.655674236548001,"cis(DR5).ARF3","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_DR5_ARF5_1","iSensors",0.615664508846905,"cis(DR5).ARF5-1","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_DR5_ARF5_2","iSensors",0.659727041160432,"cis(DR5).ARF5-2","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_DR5_ARF6","iSensors",0.630099882169548,"cis(DR5).ARF6","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_DR5_ARF8","iSensors",0.658075778906834,"cis(DR5).ARF8","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_DR5_TGTCGG","iSensors",0.437535200749274,"cis(DR5).TGTCGG","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_DR5_TGTCNN","iSensors",0.615625906542908,"cis(DR5).TGTCNN","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_IR8_ARF1","iSensors",0.653561018812998,"cis(IR8).ARF1","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_IR8_ARF2","iSensors",0.683227624905984,"cis(IR8).ARF2","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_IR8_ARF3","iSensors",0.549623659340193,"cis(IR8).ARF3","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_IR8_ARF5_1","iSensors",0.68791724826875,"cis(IR8).ARF5-1","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_IR8_ARF5_2","iSensors",0.643069262432417,"cis(IR8).ARF5-2","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_IR8_ARF6","iSensors",0.684500646200979,"cis(IR8).ARF6","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_IR8_ARF8","iSensors",0.654483180546792,"cis(IR8).ARF8","Endogenous gradient
(Shahan root tip)"
"ATH_aux_cis_IR8_TGTCNN","iSensors",0.658982972805969,"cis(IR8).TGTCNN","Endogenous gradient
(Shahan root tip)"
"ATH_aux_reg_DR5_ARF1_down","iSensors",0.454886330129051,"DR5.ARF1(dn)","Endogenous gradient
(Shahan root tip)"
"ATH_aux_reg_DR5_ARF1_up","iSensors",0.671902301265818,"DR5.ARF1(up)","Endogenous gradient
(Shahan root tip)"
"ATH_aux_reg_DR5_ARF2_down","iSensors",0.617631228651703,"DR5.ARF2(dn)","Endogenous gradient
(Shahan root tip)"
