"","iSensor","effect","AveExpr","t","p_value","p_adj","B","neglog10_fdr"
"33","AT-aux-cis-DR5-ARF3",0.00523281540169826,1.01764624611495,14.2472192710892,1.76566426399082e-27,3.7988534164651e-27,50.0388935975898,26.4203474639205
"34","AT-aux-trans-Transport",0.0306215579390578,1.13788951075036,14.1817935340863,2.49614448986551e-27,5.21253702295444e-27,49.6914743493422,26.2829508473548
"35","AT-aux-cistrans-IR8-ARF2-down",-0.0378685448487405,1.17600440919259,-14.0606340169285,4.74466669008915e-27,9.62489528560941e-27,49.04701655183,26.016603986716
"36","AT-aux-cistrans-IR8-ARF5syn-down",-0.0287723537609635,1.10661274557198,-13.924946075201,9.75724442721048e-27,1.92434542869985e-26,48.3236394954119,25.7157169674786
"37","AT-aux-cistrans-IR8-ARF6-down",-0.0297335494795489,1.12137794667785,-13.7656183005029,2.28020150692315e-26,4.26037649977746e-26,47.4720772198005,25.3705520195474
"38","AT-aux-cistrans-IR8-ARF8-down",-0.0297335494795489,1.12137794667785,-13.7656183005029,2.28020150692315e-26,4.26037649977746e-26,47.4720772198005,25.3705520195474
"39","AT-aux-trans-A-ARF",0.0342569065643432,1.14141044745999,13.4229545340789,1.42636733655597e-25,2.59672002296087e-25,45.6330827825617,24.5855748732579
"40","AT-aux-cistrans-IR8-ARF5-1-down",-0.0346214266355432,1.12815086692369,-12.6894796235195,7.46275686467246e-24,1.32463934347936e-23,41.6654679924084,22.8779023499971
"41","AT-aux-cistrans-DR5-ARF6-down",-0.0255130163215783,1.10879625025133,-12.3940539904558,3.71487254688016e-23,6.27990359115455e-23,40.0570537430152,22.2020470234843
"42","AT-aux-cistrans-DR5-ARF8-down",-0.0255130163215783,1.10879625025133,-12.3940539904558,3.71487254688016e-23,6.27990359115455e-23,40.0570537430152,22.2020470234843
"43","AT-aux-cis-DR5-ARF5syn",0.00127104946313839,1.02767413388751,12.1830464274716,1.17286654208659e-22,1.93659359274763e-22,38.9052078470302,21.712961509351
"44","AT-aux-cistrans-IR8-TGTCNN-down",-0.0281646837349016,1.06652174028363,-11.8022343012398,9.39661460561571e-22,1.51627190226981e-21,36.8210644385823,20.8192229127758
"45","AT-aux-cis-IR8-ARF2",0.00335391498555851,1.01422766445887,11.3201479174581,1.32066176202302e-20,2.08371078008076e-20,34.1753147157142,19.6811625614434
"46","AT-aux-cistrans-DR5-ARF3-down",-0.033891385688521,1.17109602182538,-10.7036189430519,3.90957402770655e-19,6.03434252102533e-19,30.7863048523066,18.2193700420614
"47","AT-aux-cistrans-DR5-ARF2-down",-0.0236812239300126,1.13953128153194,-9.99555753249167,1.9111676137865e-17,2.88708299103918e-17,26.8995474651388,16.5395407318684
"48","AT-aux-trans-Synthesis",-0.0159428861011834,0.834346153031215,-9.66711035728453,1.15499961859404e-16,1.70843693583702e-16,25.1035115621275,15.7674010478418
"49","AT-aux-cistrans-DR5-ARF5syn-down",-0.0231549596187707,1.13448893854483,-9.58764853573596,1.78334801019208e-16,2.58403487191097e-16,24.6700061037052,15.5877016297728
"50","AT-aux-cistrans-DR5-TGTCNN-down",-0.0211012148678496,1.18378816258123,-9.16908125632353,1.7453175898581e-15,2.4783509775985e-15,22.394876292222,14.6058371899533
"51","AT-aux-cistrans-IR8-ARF5-2-down",-0.0282977025989288,1.22589721025182,-8.76582612563854,1.54848573212722e-14,2.15573503884378e-14,20.2197511758194,13.6664046192921
"52","AT-aux-cis-DR5-ARF1",0.00304350260979863,1.04795430419417,8.58661907003056,4.06140455689602e-14,5.54537929883879e-14,19.2596964386966,13.2560687431561
"53","AT-aux-cistrans-DR5-ARF5-1-down",-0.0195756675742873,1.15375436115181,-8.50898641038634,6.15930110600162e-14,8.25113921747387e-14,18.8452279314814,13.0834860851827
"54","AT-aux-cis-DR5-ARF6",0.00154888280605999,1.02438063096857,7.48763267938,1.3463185052226e-11,1.737974797651e-11,13.4933065580246,10.7599565255401
"55","AT-aux-cis-DR5-ARF8",0.00154888280605999,1.02438063096857,7.48763267938,1.3463185052226e-11,1.737974797651e-11,13.4933065580246,10.7599565255401
"56","AT-aux-cistrans-IR8-ARF1-down",-0.0195330352201521,1.19308343878651,-6.84392648055345,3.57815616697179e-10,4.53659085455352e-10,10.2459935010657,9.34327038706023
"57","AT-aux-trans-Receptors",-0.0116917219025617,1.17490280402221,-5.88860204068492,3.69487647633699e-08,4.60238999684082e-08,5.67649066606546,7.3370165829078
"58","AT-aux-cistrans-DR5-ARF5-2-down",-0.0200067618747285,1.12221264004799,-5.54640329785369,1.79069997132618e-07,2.19206375800274e-07,4.12922104415978,6.65914681818672
"59","random2",-0.00140261135107415,1.00144761783097,-5.44898526617903,2.78087482009052e-07,3.34647647841401e-07,3.69861905907534,6.47541222320221
"60","AT-aux-cistrans-DR5-ARF1-down",-0.0166347172040964,1.14924637931117,-5.35889130875199,4.16222736100897e-07,4.92530237719394e-07,3.30448001648171,6.30756710187385
"61","AT-aux-cistrans-IR8-ARF3-down",-0.0114168925501771,1.20857819205218,-4.57979339562492,1.15447263823895e-05,1.34373044778632e-05,0.0744301470108848,4.87168784198146
"62","AT-aux-cis-DR5-ARF5-2",0.00142702640087354,1.03469167777402,4.35355510720235,2.852584116563e-05,3.26666890767698e-05,-0.798092254835014,4.48589488109102
"63","AT-aux-cis-IR8-TGTCNN",0.00149337338890265,1.05004791621626,3.99359393476944,0.00011311684884165,0.000127480893139003,-2.11917537455257,3.89455490249371
"64","AT-aux-cis-DR5-ARF5-1",0.000616759287643906,1.01672451814677,3.62742877884744,0.000422952529141009,0.000469212962015807,-3.3727571877114,3.32862999899857
"65","AT-aux-cis-DR5-ARF2",0.000629629614164462,1.0280205789805,3.21245020034741,0.00169357101802502,0.0018499006504581,-4.67530582810627,2.73285159490316
"66","random3",0.00112114986617373,1.0143988757725,3.14388815808464,0.00210559423363169,0.00226510894830076,-4.87782687289647,2.64491090424368
"67","random1",0.00104146782268942,1.0164407178637,1.80957440958823,0.0728876170756203,0.077239116602523,-8.0362419336049,1.11216270196726
"68","majortrend",-3.97473838050341e-05,0.999999988911431,-0.66351759030294,0.5082833810456,0.530707647856435,-9.44334144332287,0.275144653848067
"69","AT-aux-cis-IR8-ARF6",-7.82410527440544e-05,1.01833369883646,-0.284744744370086,0.776334985672185,0.787425485467501,-9.62403652517171,0.103790533133815
"70","AT-aux-cis-IR8-ARF8",-7.82410527440544e-05,1.01833369883646,-0.284744744370086,0.776334985672185,0.787425485467501,-9.62403652517171,0.103790533133815
"71","AT-aux-cis-IR8-ARF1",1.11215340228295e-05,1.02069287896526,0.0324088910328635,0.974200304999696,0.974200304999696,-9.66437210948001,0.0113517387966197
