"iSensor","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","tissue","neglog10_padj"
"ATH-aux-cis-IR8-ARF3",1.1675936185851e-86,-0.280917625860347,1,1,3.95684504076062e-86,"Young_Atrichoblast_1",85.4026509573813
"ATH-aux-cis-IR8-ARF5-1",2.05434301590821e-85,-0.191798746706963,1,1,6.59552231423163e-85,"Young_Atrichoblast_1",84.1807508059999
"ATH-aux-cis-DR5-ARF2",5.02679402417327e-80,-0.149039931511036,1,1,1.53317217737285e-79,"Young_Atrichoblast_1",78.8144090705311
"ATH-aux-cis-IR8-ARF5-2",1.87942692823082e-78,-0.22113536794673,1,1,5.45928774390857e-78,"Young_Atrichoblast_1",77.2628640146337
"ATH-aux-cis-DR5-TGTCGG",2.4364383238898e-74,-0.538951154874362,0.993,0.995,6.75557898896717e-74,"Young_Atrichoblast_1",73.1703374237052
"ATH-aux-cis-IR8-ARF8",4.91615507795995e-73,-0.186110484399146,1,1,1.30384982502416e-72,"Young_Atrichoblast_1",71.884772426947
"ATH-aux-reg-IR8-ARF8-up",3.55568830854883e-69,0.414567634749535,1,1,9.03737445089494e-69,"Young_Atrichoblast_1",68.0439577229657
"ATH-aux-reg-DR5-ARF2-up",4.51923441777016e-69,0.36646925252598,1,1,1.10269319793592e-68,"Young_Atrichoblast_1",67.9575453044027
"random3",1.62468258051367e-65,-0.178329718810059,1,1,3.8117552850513e-65,"Young_Atrichoblast_1",64.418874988874
"ATH-aux-reg-IR8-ARF5-1-down",1.34199684882416e-63,-0.505429897538264,0.999,1,3.03191880660274e-63,"Young_Atrichoblast_1",62.5182824330916
"ATH-aux-reg-IR8-ARF8-down",3.44780984984906e-62,-0.626505148862718,0.995,1,7.5113000300283e-62,"Young_Atrichoblast_1",61.124284890292
"ATH-aux-reg-IR8-ARF3-down",5.04087237928681e-62,-0.765211502372597,0.925,0.975,1.06032143150516e-61,"Young_Atrichoblast_1",60.9745624604259
"ATH-aux-reg-DR5-TGTCNN-up",2.66235772259045e-59,0.355601855839862,1,1,5.41346070260057e-59,"Young_Atrichoblast_1",58.2665250115043
"ATH-aux-reg-IR8-ARF1-up",7.56166655635134e-57,-0.752026681162217,0.714,0.914,1.48794083850784e-56,"Young_Atrichoblast_1",55.827414336277
"ATH-aux-cis-IR8-TGTCNN",9.40158638151281e-56,-0.191987255991802,1,1,1.79217740397588e-55,"Young_Atrichoblast_1",54.7466190026235
"ATH-aux-cis-DR5-ARF5-1",1.87680437644671e-54,-0.136530205499891,1,1,3.4692444534318e-54,"Young_Atrichoblast_1",53.4597650973802
"ATH-aux-reg-IR8-ARF5-2-up",6.04681472849316e-53,0.580491028235377,1,1,1.08486970128848e-52,"Young_Atrichoblast_1",51.9646224197966
"ATH-aux-reg-IR8-ARF6-up",1.52191467770367e-52,0.396485381206282,1,1,2.65247986685496e-52,"Young_Atrichoblast_1",51.576347903844
"ATH-aux-reg-IR8-ARF6-down",5.78764371909729e-50,-0.423776539617428,0.993,0.998,9.80684074624818e-50,"Young_Atrichoblast_1",49.0084708771714
"ATH-aux-cis-IR8-ARF1",1.18042110916564e-48,-0.207674184340191,1,1,1.94609966646227e-48,"Young_Atrichoblast_1",47.7108349217829
"ATH-aux-cis-IR8-ARF6",1.65243620774063e-46,-0.12721614405924,1,1,2.65259496505732e-46,"Young_Atrichoblast_1",45.5763290590526
"ATH-aux-reg-IR8-ARF2-up",9.09213592852082e-46,0.423201617363494,1,1,1.42210331189685e-45,"Young_Atrichoblast_1",44.8470688521598
"ATH-aux-trans-A-ARF",9.42815618224924e-45,1.0367637562932,0.85,0.843,1.43779381779301e-44,"Young_Atrichoblast_1",43.8423033880942
"ATH-aux-reg-DR5-ARF6-up",3.26557245104277e-44,0.222507410915605,1,1,4.85853462228315e-44,"Young_Atrichoblast_1",43.313494698108
"ATH-aux-cis-DR5-ARF6",7.20663866282609e-42,-0.106234725687775,1,1,1.04667847245807e-41,"Young_Atrichoblast_1",40.9801867080848
"random2",4.48501118193457e-41,-0.172611127106881,1,1,6.36245772320951e-41,"Young_Atrichoblast_1",40.1963750904136
"ATH-aux-reg-IR8-ARF5-2-down",1.88264371380902e-40,-0.498956125460281,0.963,0.991,2.61002878505341e-40,"Young_Atrichoblast_1",39.5833547029602
"majortrend",3.13291080128719e-30,-0.0802762654189291,1,1,4.24683464174485e-30,"Young_Atrichoblast_1",29.3719346487281
"ATH-aux-reg-IR8-ARF2-down",1.40080292061646e-27,-0.283797358105279,0.971,0.988,1.85758648168704e-27,"Young_Atrichoblast_1",26.7310509581083
"ATH-aux-trans-ConjugationDeconjugation",1.10486668389549e-25,0.408803949856583,1,1,1.43397590888563e-25,"Young_Atrichoblast_1",24.8434581448509
"ATH-aux-cis-DR5-ARF8",1.14330175151654e-24,-0.0797744154286466,1,1,1.4529459758856e-24,"Young_Atrichoblast_1",23.8377505335416
"ATH-aux-cis-IR8-ARF2",1.92122968359452e-18,-0.0817329957104158,1,1,2.39173491222992e-18,"Young_Atrichoblast_1",17.6212869570145
"ATH-aux-cis-DR5-ARF5-2",1.47695524539134e-17,-0.0931600852087704,1,1,1.80188539937743e-17,"Young_Atrichoblast_1",16.7442728337791
"ATH-aux-trans-Transport",4.44133198264939e-17,-0.355682288255466,0.985,0.998,5.31218139101201e-17,"Young_Atrichoblast_1",16.2747271038639
"ATH-aux-reg-IR8-ARF1-down",1.51581030224011e-16,-0.391774648195983,0.994,0.996,1.77816208532013e-16,"Young_Atrichoblast_1",15.7500286541916
"ATH-aux-reg-DR5-ARF5-2-down",7.09131590540812e-12,-0.210752405065855,0.982,0.991,8.16170321188481e-12,"Young_Atrichoblast_1",11.0882192017441
"ATH-aux-reg-IR8-ARF3-up",1.58548050482435e-07,-0.150593287533441,0.995,0.993,1.79100575544973e-07,"Young_Atrichoblast_1",6.74690301853062
"ATH-aux-trans-Receptors",2.22145657435514e-05,-0.256357835467888,0.959,0.991,2.46379729155752e-05,"Young_Atrichoblast_1",4.60839502653174
"ATH-aux-reg-IR8-TGTCNN-down",0.000108352482151856,-0.0764684034433041,0.943,0.955,0.000118026810915414,"Young_Atrichoblast_1",3.92801932735476
"ATH-aux-reg-IR8-TGTCNN-up",0.000168690498450248,-0.0826663088348907,0.997,1,0.000180528428166055,"Young_Atrichoblast_1",3.74345439916825
"ATH-aux-trans-IAA",0.00133006215582658,-0.118877255034964,0.994,0.996,0.0013988584742314,"Young_Atrichoblast_1",2.85422622186948
"ATH-aux-cis-DR5-ARF3",0.564101283556999,-0.00933298738062294,1,1,0.58322336096571,"Young_Atrichoblast_1",0.234165088710473
"ATH-aux-cis-DR5-ARF1",0.644731088677462,-0.0132069671274013,1,1,0.655476606822086,"Young_Atrichoblast_1",0.183442803149138
"random1",0.961150197634865,0.00309978488426207,1,1,0.961150197634865,"Young_Atrichoblast_1",0.0172087404198531
"ATH-aux-reg-DR5-ARF2-down",4.76491077693987e-276,-1.08456903157674,1,1,2.90659557393332e-274,"Young_LRC_Columella_2",273.536615392113
"ATH-aux-reg-DR5-ARF5-1-down",6.29178964041218e-244,-0.830579746682344,1,1,1.91899584032571e-242,"Young_LRC_Columella_2",241.716925966654
"ATH-aux-cis-DR5-ARF2",1.31166749364657e-216,-0.336139503203975,1,1,2.66705723708136e-215,"Young_LRC_Columella_2",214.573967663919
"ATH-aux-reg-DR5-TGTCNN-down",2.62774422655971e-213,-1.05519762472369,0.999,1,4.00730994550356e-212,"Young_LRC_Columella_2",211.397147065749
"ATH-aux-cis-DR5-TGTCNN",1.28245482481063e-199,-0.43397831168974,1,1,1.56459488626897e-198,"Young_LRC_Columella_2",197.805598093538
"ATH-aux-reg-DR5-ARF6-down",1.76346929474981e-166,-0.644615930726813,1,1,1.79286044966231e-165,"Young_LRC_Columella_2",164.746453513171
"ATH-aux-cis-DR5-ARF6",1.48828104798685e-159,-0.257876762413481,1,1,1.2969306275314e-158,"Young_LRC_Columella_2",157.887083253589
"ATH-aux-reg-DR5-ARF8-down",8.90803775817228e-159,-0.806420892771606,0.995,1,6.79237879060636e-158,"Young_LRC_Columella_2",157.167978102787
"ATH-aux-cis-DR5-ARF8",1.9316836378558e-154,-0.251803502278303,1,1,1.3092522434356e-153,"Young_LRC_Columella_2",152.882976673252
"ATH-aux-reg-DR5-ARF3-up",2.3402798382518e-152,0.771119923703083,1,1,1.4275707013336e-151,"Young_LRC_Columella_2",150.845402373843
"ATH-aux-cis-DR5-ARF5-1",2.12987023884978e-150,-0.207932829314718,1,1,1.18110985972579e-149,"Young_LRC_Columella_2",148.927709705051
"ATH-aux-reg-DR5-ARF3-down",8.14613309335723e-133,-0.832168027202759,0.996,1,4.14095098912326e-132,"Young_LRC_Columella_2",131.382899909628
"majortrend",9.75102746731104e-133,-0.182379022007372,1,1,4.57548211927672e-132,"Young_LRC_Columella_2",131.339563137508
"ATH-aux-cis-IR8-ARF1",1.6178681186636e-128,-0.347749710448883,1,1,7.04928251703427e-128,"Young_LRC_Columella_2",127.151855083682
"ATH-aux-cis-IR8-ARF5-2",5.46198740054118e-121,-0.306120372822607,1,1,2.22120820955341e-120,"Young_LRC_Columella_2",119.65341073005
"random3",4.41955480159503e-118,-0.326255830174556,1,1,1.68495526810811e-117,"Young_LRC_Columella_2",116.773411624212
"ATH-aux-cis-IR8-ARF5-1",3.20715540360809e-113,-0.229500190005214,1,1,1.15080282129467e-112,"Young_LRC_Columella_2",111.938999082069
"ATH-aux-trans-IAA",1.72241768367302e-101,-0.602978296376572,0.999,1,5.83708215022524e-101,"Young_LRC_Columella_2",100.233804194451
"ATH-aux-cis-IR8-ARF2",1.50098998373253e-100,-0.264791249714829,1,1,4.8189678425097e-100,"Young_LRC_Columella_2",99.3170459717829
"ATH-aux-cis-DR5-ARF5-2",6.08937971906463e-97,-0.207933914165178,1,1,1.85726081431471e-96,"Young_LRC_Columella_2",95.7311271041956
"ATH-aux-trans-Synthesis",1.56365450367744e-86,-1.65500232273414,0.451,0.769,4.54204403449162e-86,"Young_LRC_Columella_2",85.3427486596707
