"Organ","Tissue_Cleaned","ARF","Conjugation","PAT","Synthesis","ARF_hat","resid"
"Shoot apical meristem","Parenchyma-cell",0.114813107181933,0.151658764076903,0.0470106928782268,0.0359531932065988,0.143408324607424,-0.0285952174254915
"Shoot apical meristem","Proliferating-cell",0.135057752856288,0.137801005924651,0.0447712770070011,0.0212144035773704,0.103113583296907,0.0319441695593815
"Shoot apical meristem","SAM-unknown",0.144018376396792,0.0984003599703699,0.0326642262266393,0.0154592485210226,0.0744924169402551,0.0695259594565366
"Shoot apical meristem","Vascular-cylinder",0.135453796324191,0.172022429195919,0.088681816185799,0.0199703555740249,0.1184994795144,0.0169543168097905
"Seed","Epidermis",0.0498588061108174,0.0431427017466707,0.00581536880548185,0.0142116004533289,0.04911983622222,0.000738969888597475
"Seed","Plumule",0.0681071862739598,0.0227231702774098,0.0112470170117354,0.00679883732642054,0.0255773503465292,0.0425298359274306
"Seed","Scutellum",0.0412232115687962,0.0235226464795027,0.00646351129970717,0.0148679560653781,0.0444403014390756,-0.0032170898702794
"Seed","Seed-unknown",0.0901484766833774,0.0382665512131131,0.0126570798311893,0.0140568887768785,0.048299679570611,0.0418487971127665
"Seed","Vascular-cylinder",0.0768306309740043,0.119280448154747,0.0119013914650679,0.0399992219390549,0.136813756447658,-0.0599831254736533
"Spikelet","Epidermis",0.162337074777808,0.306167712008405,0.00838169655926102,0.00594603374179382,0.115000465180158,0.0473366095976499
"Spikelet","Filament",0.265162571194781,0.236573850981612,0.045907417738981,0.0152295825286218,0.120957151052239,0.144205420142542
"Spikelet","Lodicule",0.099999793373822,0.109166307074504,0.0148774006808558,0.0162192033062544,0.0768646685219073,0.0231351248519147
"Spikelet","Ovary-wall",0.141845079553552,0.106297542180708,0.0207786782010842,0.0131072421609255,0.0694314026887095,0.0724136768648428
"Spikelet","Ovule",0.11048115819612,0.128227181431155,0.0244363984144087,0.0174094194663516,0.0874926084670886,0.0229885497290318
"Spikelet","Pollen-mother-cell",0.123877818187158,0.144557619475041,0.0120154335559964,0.0248533740106538,0.108625611196377,0.0152522069907804
"Spikelet","SP-unknown",0.138091047006808,0.181693081319228,0.0478350731664258,0.0248662554525653,0.126637656491471,0.0114533905153373
"Spikelet","Stigmata",0.209358444514819,0.165140177015501,0.0352515858489527,0.0135786934552455,0.0920507152678315,0.117307729246987
"Spikelet","Tapetum",0.225494207319097,0.257563466604917,0.0322700203103398,0.00404987381283546,0.0986334268352187,0.126860780483878
"Spikelet","Vascular-cylinder",0.0917226660729455,0.0787710539082605,0.00579689448696882,0.00568061783810608,0.0401680704097083,0.0515545956632372
"Stem","Cortex",0.13135364584752,0.289019307588134,0.139935293758651,0.0132023937873197,0.148675722741886,-0.0173220768943665
"Stem","Epidermis",0.143682176155239,0.207278376072229,0.132880052846277,0.0149100871103073,0.125095400862429,0.0185867752928105
"Stem","Parenchyma-cell",0.11668968826579,0.0980735795816599,0.030181329267351,0.0188272975911996,0.0820709904269503,0.0346186978388395
"Stem","Procambium",0.0849569363978066,0.117551302035767,0.029770214482578,0.0113810934712546,0.0704225365027633,0.0145343998950434
"Stem","ST-unknown",0.0841884276916269,0.0725106262013438,0.0245285844100727,0.0109244504395529,0.0538455211996095,0.0303429064920174
"Stem","Vascular-cylinder",0.137905495294353,0.187066358073327,0.0443744817709968,0.0222544982352225,0.121529362635768,0.0163761326585847
