"organ","tissue_simple","sensor","value"
"Late flower","epidermis","ConjugationDeconjugation",0.107578931561084
"Late flower","epidermis","IAA",0.164681271196916
"Late flower","epidermis","PAT",0.125596164176835
"Late flower","epidermis","Synthesis",0.0613026919599115
"Late flower","female reproductive","ConjugationDeconjugation",0.0569052997880476
"Late flower","female reproductive","IAA",0.140323771400676
"Late flower","female reproductive","PAT",0.0541332264036029
"Late flower","female reproductive","Synthesis",0.0196444143430607
"Late flower","guard cell","ConjugationDeconjugation",0.0768890323521774
"Late flower","guard cell","IAA",0.146665127077589
"Late flower","guard cell","PAT",0.120341544923342
"Late flower","guard cell","Synthesis",0.0103049901659614
"Late flower","male reproductive","ConjugationDeconjugation",0.0511153215534881
"Late flower","male reproductive","IAA",0.0420636323826962
"Late flower","male reproductive","PAT",0.0791628814732419
"Late flower","male reproductive","Synthesis",0.00804403449268197
"Late flower","phloem","ConjugationDeconjugation",0.0838606776217238
"Late flower","phloem","IAA",0.126814002280989
"Late flower","phloem","PAT",0.115512277546793
"Late flower","phloem","Synthesis",0.012340948981366
"Late flower","procambium","ConjugationDeconjugation",0.160477690545914
"Late flower","procambium","IAA",0.42213472343944
"Late flower","procambium","PAT",0.748227754479749
"Late flower","procambium","Synthesis",0.0472669581159416
"Silique 0 DPA","cortex","ConjugationDeconjugation",0.209305385599224
"Silique 0 DPA","cortex","IAA",0.249055870873677
"Silique 0 DPA","cortex","PAT",0.217727222805927
"Silique 0 DPA","cortex","Synthesis",0.0209203572442119
"Silique 0 DPA","dividing cell","ConjugationDeconjugation",0.148724279744977
"Silique 0 DPA","dividing cell","IAA",0.248413548757142
"Silique 0 DPA","dividing cell","PAT",0.179474897732965
"Silique 0 DPA","dividing cell","Synthesis",0.0284242378725685
"Silique 0 DPA","epidermis","ConjugationDeconjugation",0.166904786728916
"Silique 0 DPA","epidermis","IAA",0.288024491606271
"Silique 0 DPA","epidermis","PAT",0.218708603088328
"Silique 0 DPA","epidermis","Synthesis",0.0359090707410537
"Silique 0 DPA","female reproductive","ConjugationDeconjugation",0.197851754348184
"Silique 0 DPA","female reproductive","IAA",0.323864759453824
"Silique 0 DPA","female reproductive","PAT",0.224037948236405
"Silique 0 DPA","female reproductive","Synthesis",0.0227220095925305
"Silique 0 DPA","guard cell","ConjugationDeconjugation",0.148364544608179
"Silique 0 DPA","guard cell","IAA",0.207844990636863
"Silique 0 DPA","guard cell","PAT",0.155278702240195
"Silique 0 DPA","guard cell","Synthesis",0.0124556569984532
"Silique 0 DPA","male reproductive","ConjugationDeconjugation",0.161162325527225
"Silique 0 DPA","male reproductive","IAA",0.235166634521718
"Silique 0 DPA","male reproductive","PAT",0.202383877508389
"Silique 0 DPA","male reproductive","Synthesis",0.0204325909712018
"Silique 0 DPA","phloem","ConjugationDeconjugation",0.279190195164459
"Silique 0 DPA","phloem","IAA",0.25538651367761
"Silique 0 DPA","phloem","PAT",0.3767785224059
"Silique 0 DPA","phloem","Synthesis",0.0243388487026903
"Silique 0 DPA","seed coat","ConjugationDeconjugation",0.122637607985996
"Silique 0 DPA","seed coat","IAA",0.189311115707824
"Silique 0 DPA","seed coat","PAT",0.102258028543137
"Silique 0 DPA","seed coat","Synthesis",0.0164686243156072
"Silique 0 DPA","unknown","ConjugationDeconjugation",0.154140245443344
"Silique 0 DPA","unknown","IAA",0.202318901017148
"Silique 0 DPA","unknown","PAT",0.171145622909401
"Silique 0 DPA","unknown","Synthesis",0.0184537525666368
"Silique 0 DPA","xylem","ConjugationDeconjugation",0.210998798022546
"Silique 0 DPA","xylem","IAA",0.407564633633794
"Silique 0 DPA","xylem","PAT",0.637812632695141
"Silique 0 DPA","xylem","Synthesis",0.026077448693027
"Silique 2 DPA","abscission zones","ConjugationDeconjugation",0.133372178392733
"Silique 2 DPA","abscission zones","IAA",0.157484567237933
"Silique 2 DPA","abscission zones","PAT",0.122634119543001
"Silique 2 DPA","abscission zones","Synthesis",0.00943807354496174
"Silique 2 DPA","dividing cell","ConjugationDeconjugation",0.0699799207432378
"Silique 2 DPA","dividing cell","IAA",0.215358224547696
"Silique 2 DPA","dividing cell","PAT",0.132254172979898
"Silique 2 DPA","dividing cell","Synthesis",0.0156618875548254
"Silique 2 DPA","endosperm/embryo","ConjugationDeconjugation",0.0877020041394683
"Silique 2 DPA","endosperm/embryo","IAA",0.141047064026773
"Silique 2 DPA","endosperm/embryo","PAT",0.0968633649128563
"Silique 2 DPA","endosperm/embryo","Synthesis",0.020756210643415
"Silique 2 DPA","epidermis","ConjugationDeconjugation",0.105694601129479
"Silique 2 DPA","epidermis","IAA",0.245583059586556
"Silique 2 DPA","epidermis","PAT",0.149128968496357
"Silique 2 DPA","epidermis","Synthesis",0.0177824894609926
"Silique 2 DPA","guard cell","ConjugationDeconjugation",0.0889788963812264
"Silique 2 DPA","guard cell","IAA",0.202129016617427
"Silique 2 DPA","guard cell","PAT",0.149262773943542
"Silique 2 DPA","guard cell","Synthesis",0.0112058550690675
"Silique 2 DPA","male reproductive","ConjugationDeconjugation",0.0716859880010108
"Silique 2 DPA","male reproductive","IAA",0.194179187482467
"Silique 2 DPA","male reproductive","PAT",0.125723164232372
"Silique 2 DPA","male reproductive","Synthesis",0.0112194043072807
"Silique 2 DPA","mesocarp","ConjugationDeconjugation",0.0865413390674254
"Silique 2 DPA","mesocarp","IAA",0.209034467730499
"Silique 2 DPA","mesocarp","PAT",0.137796344842887
"Silique 2 DPA","mesocarp","Synthesis",0.0127940363169792
"Silique 2 DPA","phloem","ConjugationDeconjugation",0.140925248125541
"Silique 2 DPA","phloem","IAA",0.228222133449265
"Silique 2 DPA","phloem","PAT",0.195682107244759
"Silique 2 DPA","phloem","Synthesis",0.0195353873395361
"Silique 2 DPA","procambium","ConjugationDeconjugation",0.147656534228264
"Silique 2 DPA","procambium","IAA",0.328098993160927
"Silique 2 DPA","procambium","PAT",0.464310061751709
"Silique 2 DPA","procambium","Synthesis",0.0185647137494914
"Silique 2 DPA","seed coat","ConjugationDeconjugation",0.160930792812191
"Silique 2 DPA","seed coat","IAA",0.240764739967582
"Silique 2 DPA","seed coat","PAT",0.137441389593625
