"ROI.name","Cell_type","Colour","ROI.id","point","x","y"
"poly3","Atrichoblast-m1","#FFFFFF","poly3",8,254.527709190672,207.865569272976
"poly3","Atrichoblast-m1","#FFFFFF","poly3",9,254.448148148148,208.099862825788
"poly3","Atrichoblast-m1","#FFFFFF","poly3",10,254.385871056241,208.316872427983
"poly3","Atrichoblast-m1","#FFFFFF","poly3",11,254.337585733882,208.514951989026
"poly3","Atrichoblast-m1","#FFFFFF","poly3",12,254.3,208.692455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",13,254.3,208.692455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",14,254.267352537723,208.895747599451
"poly3","Atrichoblast-m1","#FFFFFF","poly3",15,254.238820301783,209.103978052126
"poly3","Atrichoblast-m1","#FFFFFF","poly3",16,254.218518518519,209.314677640603
"poly3","Atrichoblast-m1","#FFFFFF","poly3",17,254.210562414266,209.525377229081
"poly3","Atrichoblast-m1","#FFFFFF","poly3",18,254.219067215363,209.733607681755
"poly3","Atrichoblast-m1","#FFFFFF","poly3",19,254.248148148148,209.936899862825
"poly3","Atrichoblast-m1","#FFFFFF","poly3",20,254.301920438957,210.132784636488
"poly3","Atrichoblast-m1","#FFFFFF","poly3",21,254.384499314129,210.318792866941
"poly3","Atrichoblast-m1","#FFFFFF","poly3",22,254.5,210.492455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",23,254.5,210.492455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",24,254.599862825789,210.588614540466
"poly3","Atrichoblast-m1","#FFFFFF","poly3",25,254.69890260631,210.676543209876
"poly3","Atrichoblast-m1","#FFFFFF","poly3",26,254.796296296296,210.755418381344
"poly3","Atrichoblast-m1","#FFFFFF","poly3",27,254.89122085048,210.824417009602
"poly3","Atrichoblast-m1","#FFFFFF","poly3",28,254.982853223594,210.882716049382
"poly3","Atrichoblast-m1","#FFFFFF","poly3",29,255.07037037037,210.929492455418
"poly3","Atrichoblast-m1","#FFFFFF","poly3",30,255.152949245542,210.963923182441
"poly3","Atrichoblast-m1","#FFFFFF","poly3",31,255.229766803841,210.985185185185
"poly3","Atrichoblast-m1","#FFFFFF","poly3",32,255.3,210.992455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",33,255.3,210.992455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",34,257.263237311385,210.992455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",35,259.220713305898,210.992455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",36,261.174074074074,210.992455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",37,263.124965706447,210.992455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",38,265.075034293553,210.992455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",39,267.025925925926,210.992455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",40,268.979286694101,210.992455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",41,270.936762688615,210.992455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",42,272.9,210.992455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",43,272.9,210.992455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",44,273.321262002743,210.956378600823
"poly3","Atrichoblast-m1","#FFFFFF","poly3",45,273.714540466392,210.851989026063
"poly3","Atrichoblast-m1","#FFFFFF","poly3",46,274.074074074074,210.685048010974
"poly3","Atrichoblast-m1","#FFFFFF","poly3",47,274.394101508916,210.461316872428
"poly3","Atrichoblast-m1","#FFFFFF","poly3",48,274.668861454047,210.186556927297
"poly3","Atrichoblast-m1","#FFFFFF","poly3",49,274.892592592593,209.866529492455
"poly3","Atrichoblast-m1","#FFFFFF","poly3",50,275.059533607682,209.506995884773
"poly3","Atrichoblast-m1","#FFFFFF","poly3",51,275.163923182442,209.113717421124
"poly3","Atrichoblast-m1","#FFFFFF","poly3",52,275.2,208.692455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",53,275.2,208.692455418381
"poly3","Atrichoblast-m1","#FFFFFF","poly3",54,275.163923182442,208.300960219479
"poly3","Atrichoblast-m1","#FFFFFF","poly3",55,275.059533607682,207.930864197531
"poly3","Atrichoblast-m1","#FFFFFF","poly3",56,274.892592592593,207.588751714677
"poly3","Atrichoblast-m1","#FFFFFF","poly3",57,274.668861454047,207.281207133059
"poly3","Atrichoblast-m1","#FFFFFF","poly3",58,274.394101508916,207.014814814814
"poly3","Atrichoblast-m1","#FFFFFF","poly3",59,274.074074074074,206.796159122085
"poly3","Atrichoblast-m1","#FFFFFF","poly3",60,273.714540466392,206.631824417009
"poly3","Atrichoblast-m1","#FFFFFF","poly3",61,273.321262002743,206.528395061728
"poly3","Atrichoblast-m1","#FFFFFF","poly3",62,272.9,206.492455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",1,273.7,211.092455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",2,256.1,211.092455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",3,256.1,211.092455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",4,256.019341563786,211.0561042524
"poly4","Atrichoblast-m1","#FFFFFF","poly4",5,255.913991769547,211.016460905349
"poly4","Atrichoblast-m1","#FFFFFF","poly4",6,255.788888888889,210.977640603566
"poly4","Atrichoblast-m1","#FFFFFF","poly4",7,255.648971193416,210.943758573388
"poly4","Atrichoblast-m1","#FFFFFF","poly4",8,255.499176954732,210.918930041152
"poly4","Atrichoblast-m1","#FFFFFF","poly4",9,255.344444444444,210.907270233196
"poly4","Atrichoblast-m1","#FFFFFF","poly4",10,255.189711934156,210.912894375857
"poly4","Atrichoblast-m1","#FFFFFF","poly4",11,255.039917695473,210.939917695473
"poly4","Atrichoblast-m1","#FFFFFF","poly4",12,254.9,210.992455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",13,254.9,210.992455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",14,254.754732510288,211.120438957476
"poly4","Atrichoblast-m1","#FFFFFF","poly4",15,254.648971193416,211.29780521262
"poly4","Atrichoblast-m1","#FFFFFF","poly4",16,254.577777777778,211.514677640603
"poly4","Atrichoblast-m1","#FFFFFF","poly4",17,254.53621399177,211.761179698216
"poly4","Atrichoblast-m1","#FFFFFF","poly4",18,254.519341563786,212.027434842249
"poly4","Atrichoblast-m1","#FFFFFF","poly4",19,254.522222222222,212.303566529492
"poly4","Atrichoblast-m1","#FFFFFF","poly4",20,254.539917695473,212.579698216735
"poly4","Atrichoblast-m1","#FFFFFF","poly4",21,254.567489711934,212.845953360768
"poly4","Atrichoblast-m1","#FFFFFF","poly4",22,254.6,213.092455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",23,254.6,213.092455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",24,254.637311385459,213.269821673525
"poly4","Atrichoblast-m1","#FFFFFF","poly4",25,254.683676268861,213.466941015089
"poly4","Atrichoblast-m1","#FFFFFF","poly4",26,254.740740740741,213.68134430727
"poly4","Atrichoblast-m1","#FFFFFF","poly4",27,254.810150891632,213.910562414266
"poly4","Atrichoblast-m1","#FFFFFF","poly4",28,254.893552812071,214.152126200274
"poly4","Atrichoblast-m1","#FFFFFF","poly4",29,254.992592592593,214.403566529492
"poly4","Atrichoblast-m1","#FFFFFF","poly4",30,255.108916323731,214.662414266118
