"organ","tissue_simple","sensor","value"
"Middle flower","male reproductive","DR5-ARF3-up",0.103703330973005
"Middle flower","male reproductive","PAT",0.121941699326052
"Middle flower","male reproductive","Synthesis",0.0155124366837296
"Middle flower","phloem","ConjugationDeconjugation",0.164881380144779
"Middle flower","phloem","DR5-ARF3-up",0.116512728849951
"Middle flower","phloem","PAT",0.2991162555217
"Middle flower","phloem","Synthesis",0.018356423441082
"Middle flower","procambium","ConjugationDeconjugation",0.172025978779243
"Middle flower","procambium","DR5-ARF3-up",0.116075459227102
"Middle flower","procambium","PAT",0.439779676484526
"Middle flower","procambium","Synthesis",0.022924649365622
"Late flower","abscission zones","ConjugationDeconjugation",0.152770591374447
"Late flower","abscission zones","DR5-ARF3-up",0.216335795281192
"Late flower","abscission zones","PAT",0.195447467515474
"Late flower","abscission zones","Synthesis",0.0336119672379744
"Late flower","cortex","ConjugationDeconjugation",0.143873654049483
"Late flower","cortex","DR5-ARF3-up",0.132687968666508
"Late flower","cortex","PAT",0.289546804996731
"Late flower","cortex","Synthesis",0.026438461775361
"Late flower","dividing cell","ConjugationDeconjugation",0.07023383398382
"Late flower","dividing cell","DR5-ARF3-up",0.122942617702429
"Late flower","dividing cell","PAT",0.141746643104082
"Late flower","dividing cell","Synthesis",0.0221577449575151
"Late flower","epidermis","ConjugationDeconjugation",0.107578931561084
"Late flower","epidermis","DR5-ARF3-up",0.11882493362783
"Late flower","epidermis","PAT",0.125596164176835
"Late flower","epidermis","Synthesis",0.0613026919599115
"Late flower","female reproductive","ConjugationDeconjugation",0.0569052997880476
"Late flower","female reproductive","DR5-ARF3-up",0.129568345980462
"Late flower","female reproductive","PAT",0.0541332264036029
"Late flower","female reproductive","Synthesis",0.0196444143430607
"Late flower","guard cell","ConjugationDeconjugation",0.0768890323521774
"Late flower","guard cell","DR5-ARF3-up",0.115382770955267
"Late flower","guard cell","PAT",0.120341544923342
"Late flower","guard cell","Synthesis",0.0103049901659614
"Late flower","male reproductive","ConjugationDeconjugation",0.0511153215534881
"Late flower","male reproductive","DR5-ARF3-up",0.0495117476572545
"Late flower","male reproductive","PAT",0.0791628814732419
